title,year,genre,duration,avg_vote
Il padrino,1972,"Crime, Drama",175,9.2
Le ali della libertà,1994,Drama,142,9.3
Hababam Sinifi,1975,"Comedy, Drama",87,9.3
Jibon Theke Neya,1970,"Drama, Family, War",150,9.4
The Moving on Phase,2020,Comedy,85,9.5
Set Me Free: Vol. I,2016,"Crime, Drama, Mystery",101,8.4
Set Me Free: Vol. II,2016,"Crime, Drama, Mystery",70,8.4
Warmth,2016,Drama,81,4.0
Zana,2019,"Drama, Mystery",97,9.1
Poeta,2019,"Comedy, Drama, Romance",67,8.3
