title,year,genre,duration,avg_vote
Alice nelle città,1974,Drama,110,8.0
Il Casanova di Federico Fellini,1976,"Biography, Drama, History",155,7.2
Mosura 3: Kingu Gidora raishu,1998,"Adventure, Fantasy, Sci-Fi",99,5.9
Princess Blade,2001,"Action, Sci-Fi",92,5.7
BoBoiBoy Movie 2,2019,"Animation, Action, Adventure",120,7.8
