Paul Dugdale,8.3
Jeral Clyde II,8.3
Dmitriy Rasseko,8.2
Kevin Arbouet,8.2
Nipun Dharmadhikari,8.2
Zakariya Mohammed,8.2
Sica Alexandrescu,8.2
Raam Reddy,8.2
Haseeb Hasan,8.2
Huseyn Seyidzadeh,8.2
Carlos Martínez López,8.2
Bernard Queysanne,8.2
Christopher Nolan,8.2
Halitha Shameem,8.2
Jeyhun Mirzayev,8.2
Lendita Zeqiraj,8.2
Mahesh Narayan,8.2
Arunas Zebriunas,8.2
Dragan Bjelogrlic,8.2
Jacky S. Kumar,8.2
Sree Jayadratha,8.2
Aaron K. Carter,8.2
Bijon,8.2
Renuka Sharma,8.2
Doro Vlado Hreljanovic,8.2
Anand Gandhi,8.2
Nikolay Volev,8.2
Tauquir Ahmed,8.2
Bob Peterson,8.2
Vagif Mustafayev,8.2
Oskars Rupenheits,8.2
Costas Ferris,8.2
Ritesh Rana,8.2
Brandon Eric Kamin,8.2
H.S. Phani Ramchandra,8.2
Tarun Sudhir,8.2
Anatol Durbalã,8.2
Jeremy Herrin,8.2
Asif Rustamov,8.2
Dinesh Babu,8.2
Eric Allen Bell,8.2
Yôichi Fujita,8.2
Prashanth Neel,8.2
Florian Zeller,8.2
Ramiz Azizbayli,8.2
D. Satya Prakash,8.2
Mann Robinson,8.2
Mónica Esmeralda León,8.2
Vetrimaaran,8.2
Sergio Pablos,8.2
Roopa Rao,8.2
Christopher Wheeldon,8.2
Kris Smith,8.2
Irin Daniels,8.2
Satyaprakash,8.2
Kamalakara Kameshwara Rao,8.2
H. Vinoth,8.2
Venkat Ramji,8.2
Jerry Mitchell,8.1
Seijirô Kôyama,8.1
Iraj Tahmasb,8.1
Brett Michael Innes,8.1
Ashwath Marimuthu,8.1
M. Manikandan,8.1
Rasim Ojagov,8.1
Benjamin Caron,8.1
Phanindra Narsetti,8.1
Tabaré Blanchard,8.1
Hebib Ismayilov,8.1
Saeed Roustayi,8.1
Ram Kumar,8.1
Chittajalu Pullayya,8.1
K. Kavi Nanthan,8.1
Adam Elliot,8.1
Lee Unkrich,8.1
Antonio Mitrikeski,8.1
Ronnie Del Carmen,8.1
Luiz Sérgio Person,8.1
Achal Mishra,8.1
Dhimiter Anagnosti,8.1
