title,year,genre,duration,avg_vote
Master,1997,"Action, Drama",126,6.8
New,2004,"Comedy, Drama, Musical",200,6.3
Saanjh,2017,Drama,109,8.7
Eghantham,2018,Drama,125,9.2
Dahan,2018,Drama,128,7.6
