title,year,genre,duration,avg_vote
The WormKillers' Last Spring,1994,"Drama, Sport",90,7.5
The Violent Kind,2002,"Drama, Adventure, Action",90,3.3
Sari Zeybek,1953,Adventure,90,6.9
Breakout,2019,"Adventure, Comedy, Drama",58,9.0
The Silent e,2013,"Animation, Adventure, Family",74,7.3
