title,year,genre,duration,avg_vote
El beso del sueño,1992,Thriller,119,5.7
Bang,1995,"Crime, Drama",98,6.3
Adaptatziya,1981,Drama,165,7.2
Living the Dream,2006,"Comedy, Drama",92,3.8
Ardaas Karaan,2019,Drama,140,8.8
